Name DE;Name;Cardtype;Type;Tera;HP;Evolves from DE;Evolves from;Ability DE;Ability;Ability text DE;Ability text;Attack 1 cost;Attack 1 name DE;Attack 1 name;Attack 1 damage;Effect Attack 1 DE;Effect Attack 1;Attack 2 cost;Attack 2 name DE;Attack 2 name;Attack 2 damage;Effect Attack 2 DE;Effect Attack 2;Weakness;Resistance;Retreat cost;Set;#;Regulation;Set Name;URL DE;URL
Kommandutan V;Oranguru V;Basic;Colorless;;210;;;Nachbestellung;Back Order;Einmal während deines Zuges, wenn dieses Pokémon in der Aktiven Position ist, kannst du dein Deck nach bis zu 2 Pokémon-Ausrüstungen durchsuchen, sie deinem Gegner zeigen und auf deine Hand nehmen. Mische anschließend dein Deck.;Once during your turn, if this Pokémon is in the Active Spot, you may search your deck for up to 2 Pokémon Tool cards, reveal them, and put them into your hand. Then, shuffle your deck.;CCC;Psychokinese ;Psychic ;30+;Diese Attacke fügt für jede an das Aktive Pokémon deines Gegners angelegte Energie 50 Schadenspunkte mehr zu.;This attack does 50 more damage for each Energy attached to your opponent's Active Pokémon.;;;;;;;Fighting;;2;ASR;179;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_179_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_179_R_EN_LG.png
Damythir V;Wyrdeer V;Basic;Colorless;;220;;;Vorreiter;Frontier Road;Einmal während deines Zuges, wenn dieses Pokémon von deiner Bank in die Aktive Position wechselt, kannst du beliebig viele Energien von deinen anderen Pokémon auf dieses Pokémon verschieben.;Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may move any amount of Energy from your other Pokémon to it.;CCC;Barrierenstoß ;Psyshield Bash ;40×;Diese Attacke fügt für jede an dieses Pokémon angelegte Energie 40 Schadenspunkte zu.;This attack does 40 damage for each Energy attached to this Pokémon.;;;;;;;Fighting;;2;ASR;180;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_180_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_180_R_EN_LG.png
Hoothoot;Hoothoot;Basic;Colorless;;50;;;Wache stehen;Stand Sentry;An die Pokémon auf deiner Bank angelegte Basis-Energien können nicht durch einen Effekt von Item- oder Unterstützerkarten deines Gegners auf deinen Ablagestapel gelegt werden.;Basic Energy attached to your Benched Pokémon can't be discarded by an effect of your opponent's Item or Supporter cards.;CC;Flattern ;Flap ;20;;;;;;;;;Lightning;Fighting;1;ASR;TG12;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_TG12_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_TG12_R_EN_LG.png
Porenta;Farfetch'd;Basic;Colorless;;80;;;;;;;CC;Lauchhieb ;Leek Lash ;20+;Diese Attacke fügt für jede Schadensmarke auf dem Aktiven Pokémon deines Gegners 10 Schadenspunkte mehr zu.;This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.;;;;;;;Lightning;Fighting;1;BRS;115;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_115_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_115_R_EN_LG.png
Formeo;Castform;Basic;Colorless;;70;;;;;;;C;Zweifachzug;Double Draw;;Ziehe 2 Karten.;Draw 2 cards.;C;Orkan ;Hurricane ;30;Verschiebe 1 Basis-Energie von diesem Pokémon auf 1 Pokémon auf deiner Bank.;Move a basic Energy from this Pokémon to 1 of your Benched Pokémon.;Fighting;;1;BRS;116;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_116_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_116_R_EN_LG.png
Staralili;Starly;Basic;Colorless;;60;;;;;;;C;Klaue ;Claw ;30;Wirf 1 Münze. Bei Zahl hat diese Attacke keine Auswirkungen.;Flip a coin. If tails, this attack does nothing.;;;;;;;Lightning;Fighting;1;BRS;117;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_117_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_117_R_EN_LG.png
Bidiza;Bidoof;Basic;Colorless;;70;;;;;;;CC;Walzer ;Rollout ;30;;;;;;;;;Fighting;;2;BRS;120;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_120_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_120_R_EN_LG.png
Arceus V;Arceus V;Basic;Colorless;;220;;;;;;;CC;Ladevorgang der Dreiheit;Trinity Charge;;Durchsuche dein Deck nach bis zu 3 Basis-Energiekarten und lege sie beliebig an deine Pokémon-V an. Mische anschließend dein Deck.;Search your deck for up to 3 basic Energy cards and attach them to your Pokémon V in any way you like. Then, shuffle your deck.;CCC;Kraftklinge ;Power Edge ;130;;;Fighting;;2;BRS;122;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_122_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_122_R_EN_LG.png
Picochilla;Minccino;Basic;Colorless;;60;;;;;;;C;Familienruf;Call for Family;;Durchsuche dein Deck nach bis zu 2 Basis-Pokémon und lege sie auf deine Bank. Mische anschließend dein Deck.;Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.;C;Klaps ;Pound ;10;;;Fighting;;1;BRS;124;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_124_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_124_R_EN_LG.png
Boreos;Tornadus;Basic;Colorless;;120;;;Plötzlicher Sturm;Sudden Cyclone;Wenn du dieses Pokémon während deines Zuges aus deiner Hand auf deine Bank spielst, kannst du deinen Gegner dazu veranlassen, sein Aktives Pokémon gegen 1 Pokémon auf seiner Bank auszutauschen.;When you play this Pokémon from your hand onto your Bench during your turn, you may have your opponent switch their Active Pokémon with 1 of their Benched Pokémon.;CCC;Peitschender Wind ;Blasting Wind ;100;;;;;;;;;Lightning;Fighting;1;BRS;126;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_126_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_126_R_EN_LG.png
Resladero;Hawlucha;Basic;Colorless;;70;;;;;;;C;Angeberpose;Showboating Pose;;Lege bis zu 2 Basis-Energiekarten aus deinem Ablagestapel an 1 Pokémon auf deiner Bank an.;Attach up to 2 basic Energy cards from your discard pile to 1 of your Benched Pokémon.;C;Überkreuzzerschneider ;Cross-Cut ;30+;Wenn das Aktive Pokémon deines Gegners ein Entwicklungs-Pokémon ist, fügt diese Attacke 30 Schadenspunkte mehr zu.;If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 30 more damage.;Lightning;Fighting;1;BRS;127;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_127_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_127_R_EN_LG.png
Sen-Long V;Drampa V;Basic;Colorless;;210;;;;;;;C;Stachelzug ;Spike Draw ;20;Ziehe 2 Karten.;Draw 2 cards.;CCC;Drachenpuls ;Dragon Pulse ;160;Lege die obersten 2 Karten deines Decks auf deinen Ablagestapel.;Discard the top 2 cards of your deck.;Fighting;;2;BRS;128;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_128_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_128_R_EN_LG.png
Arceus V;Arceus V;Basic;Colorless;;220;;;;;;;CC;Ladevorgang der Dreiheit;Trinity Charge;;Durchsuche dein Deck nach bis zu 3 Basis-Energiekarten und lege sie beliebig an deine Pokémon-V an. Mische anschließend dein Deck.;Search your deck for up to 3 basic Energy cards and attach them to your Pokémon V in any way you like. Then, shuffle your deck.;CCC;Kraftklinge ;Power Edge ;130;;;Fighting;;2;BRS;165;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_165_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_165_R_EN_LG.png
Arceus V;Arceus V;Basic;Colorless;;220;;;;;;;CC;Ladevorgang der Dreiheit;Trinity Charge;;Durchsuche dein Deck nach bis zu 3 Basis-Energiekarten und lege sie beliebig an deine Pokémon-V an. Mische anschließend dein Deck.;Search your deck for up to 3 basic Energy cards and attach them to your Pokémon V in any way you like. Then, shuffle your deck.;CCC;Kraftklinge ;Power Edge ;130;;;Fighting;;2;BRS;166;F;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_166_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_166_R_EN_LG.png
Evoli;Eevee;Basic;Colorless;;70;;;;;;;C;V-Suche;Vee-Search;;Durchsuche dein Deck nach bis zu 3 Pokémon-V, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck.;Search your deck for up to 3 Pokémon V, reveal them, and put them into your hand. Then, shuffle your deck.;CC;Zertrampeln ;Stampede ;20;;;Fighting;;1;BRS;TG11;E;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_TG11_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_TG11_R_EN_LG.png
Kommandutan;Oranguru;Basic;Colorless;;120;;;Primaten-Weisheit;Primate Wisdom;Einmal während deines Zuges kannst du 1 Karte aus deiner Hand gegen die oberste Karte deines Decks austauschen.;Once during your turn, you may switch a card from your hand with the top card of your deck.;CCC;Verdreschen ;Whap Down ;70;;;;;;;;;Fighting;;2;BRS;TG12;D;Strahlende Sterne (BRS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_TG12_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/BRS/BRS_TG12_R_EN_LG.png
Tauros;Tauros;Basic;Colorless;;110;;;;;;;CC;Schmetterkick ;Smash Kick ;30;;;CCC;Adrena-Tackle ;Adrena-Tackle ;180;Wenn auf diesem Pokémon keine Schadensmarken liegen, hat diese Attacke keine Auswirkungen.;If this Pokémon has no damage counters on it, this attack does nothing.;Fighting;;2;CRZ;106;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_106_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_106_R_EN_LG.png
Ditto;Ditto;Basic;Colorless;;70;;;Plötzliche Transformation;Sudden Transformation;Dieses Pokémon kann die Attacken 1 beliebigen Basis-Pokémon in deinem Ablagestapel, außer Pokémon, die ein Regelfeld haben (Pokémon V, Pokémon-GX usw. haben Regelfelder), einsetzen. (Du benötigst jedoch die jeweils für die Attacke notwendige Energie.);This Pokémon can use the attacks of any Basic Pokémon in your discard pile, except for Pokémon with a Rule Box (Pokémon V, Pokémon-GX, etc. have Rule Boxes). (You still need the necessary Energy to use each attack.);;;;;;;;;;;;;Fighting;;1;CRZ;107;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_107_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_107_R_EN_LG.png
Evoli V;Eevee V;Basic;Colorless;;200;;;;;;;C;Tackle ;Tackle ;30;;;CCC;V-Kühnheit ;Vee Brave ;80+;Wenn das Aktive Pokémon deines Gegners ein Pokémon V ist, fügt diese Attacke 80 Schadenspunkte mehr zu.;If your opponent's Active Pokémon is a Pokémon V, this attack does 80 more damage.;Fighting;;1;CRZ;108;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_108_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_108_R_EN_LG.png
Relaxo;Snorlax;Basic;Colorless;;160;;;;;;;CCC;Schwerer Einschlag ;Heavy Impact ;80;;;;;;;;;Fighting;;3;CRZ;109;E;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_109_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_109_R_EN_LG.png
Staralili;Starly;Basic;Colorless;;60;;;;;;;C;Klaue ;Claw ;30;Wirf 1 Münze. Bei Zahl hat diese Attacke keine Auswirkungen.;Flip a coin. If tails, this attack does nothing.;;;;;;;Lightning;Fighting;1;CRZ;110;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_110_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_110_R_EN_LG.png
Bidiza;Bidoof;Basic;Colorless;;60;;;Gelassene Miene;Carefree Countenance;Solange sich dieses Pokémon auf deiner Bank befindet, verhindere allen Schaden, der diesem Pokémon durch Attacken (deine und die deines Gegners) zugefügt wird.;As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's).;CC;Hyperzahn ;Hyper Fang ;30;Wirf 1 Münze. Bei Zahl hat diese Attacke keine Auswirkungen.;Flip a coin. If tails, this attack does nothing.;;;;;;;Fighting;;1;CRZ;111;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_111_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_111_R_EN_LG.png
Plaudagei;Chatot;Basic;Colorless;;70;;;;;;;C;Kreiszug;Cycle Draw;;Lege 1 Karte aus deiner Hand auf deinen Ablagestapel. Wenn du das machst, ziehe 2 Karten.;Discard a card from your hand. If you do, draw 2 cards.;C;Flattern ;Flap ;10;;;Lightning;Fighting;0;CRZ;112;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_112_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_112_R_EN_LG.png
Regigigas V;Regigigas V;Basic;Colorless;;240;;;;;;;CC;Einhämmern ;Hammer In ;50;;;CCC;Wütender Klaps ;Angry Whack ;100+;Diese Attacke fügt für jede Schadensmarke auf diesem Pokémon 10 Schadenspunkte mehr zu. Dieses Pokémon ist jetzt verwirrt.;This attack does 10 more damage for each damage counter on this Pokémon. This Pokémon is now Confused.;Fighting;;4;CRZ;113;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_113_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_113_R_EN_LG.png
Shaymin;Shaymin;Basic;Colorless;;70;;;;;;;C;Blumen sammeln;Gather Flowers;;Mische bis zu 2 Energiekarten aus deinem Ablagestapel in dein Deck.;Shuffle up to 2 Energy cards from your discard pile into your deck.;CC;Rückwärtskick ;Rear Kick ;30;;;Lightning;Fighting;1;CRZ;115;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_115_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_115_R_EN_LG.png
Bissbark V;Stoutland V;Basic;Colorless;;210;;;;;;;CCC;Nachbeißer ;Double Dip Fangs ;40;Wenn ein Basis-Pokémon deines Gegners durch Schaden dieser Attacke kampfunfähig wird, nimm 1 Preiskarte mehr.;If your opponent's Basic Pokémon is Knocked Out by damage from this attack, take 1 more Prize card.;CCCC;Wilder Tackle ;Wild Tackle ;200;Dieses Pokémon fügt auch sich selbst 30 Schadenspunkte zu.;This Pokémon also does 30 damage to itself.;Fighting;;3;CRZ;116;E;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_116_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_116_R_EN_LG.png
Mangunior;Yungoos;Basic;Colorless;;70;;;;;;;C;Scharfe Fänge ;Sharp Fang ;20;;;;;;;;;Fighting;;1;CRZ;117;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_117_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_117_R_EN_LG.png
Kommandutan;Oranguru;Basic;Colorless;;110;;;;;;;C;Primaten-Show;Primate Acting;;Wähle 1 Unterstützerkarte aus dem Ablagestapel deines Gegners und setze den Effekt jener Karte als Effekt dieser Attacke ein.;Choose a Supporter card from your opponent's discard pile and use the effect of that card as the effect of this attack.;CCC;Einhämmern ;Hammer In ;70;;;Fighting;;2;CRZ;119;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_119_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_119_R_EN_LG.png
Schlaraffel V;Greedent V;Basic;Colorless;;210;;;;;;;CC;Bodyslam ;Body Slam ;40;Wirf 1 Münze. Bei Kopf ist das Aktive Pokémon deines Gegners jetzt paralysiert.;Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.;CCC;Mjam-Mjam-Mjam-Nager ;Nom-Nom-Nom Incisors ;120;Ziehe 3 Karten.;Draw 3 cards.;Fighting;;2;CRZ;120;E;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_120_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_120_R_EN_LG.png
Wolly;Wooloo;Basic;Colorless;;70;;;;;;;C;Rollender Walzer ;Rolling Rollout ;30×;Wirf so lange 1 Münze, bis zum ersten Mal das Ergebnis Zahl kommt. Diese Attacke fügt 30 Schadenspunkte pro Kopf zu.;Flip a coin until you get tails. This attack does 30 damage for each heads.;;;;;;;Fighting;;1;CRZ;121;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_121_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_121_R_EN_LG.png
