Name DE;Name;Cardtype;Type;HP;Evolves from;Ability;Ability text;Attack 1 cost;Attack 1 name;Attack 1 name EN;Attack 1 damage;Effect 1;Attack 2 cost;Attack 2 name;Attack 2 name EN;Attack 2 damage;Effect 2;Weakness;Resistance;Retreat cost;Set;#;Regulation;Set Name;URL
Wadribie;Combee;Basis;Pflanze;50;;;;G;Honigkurier;Honey Courier;;Durchsuche dein Deck nach 1 Itemkarte, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck.;CC;Käferbiss ;Bug Bite;20;;Feuer;;1;ASR;11;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_011_R_DE_LG.png
Honweisel;Vespiquen;Phase 1 - Entwickelt sich aus Wadribie;Pflanze;120;;;;G;Honigrausch ;Honey Rush;60*;Zeige deinem Gegner beliebig viele Honig-Karten auf deiner Hand. Diese Attacke fügt für jede auf diese Weise gezeigte Karte 60 Schadenspunkte zu.;GCC;Durchbohren ;Pierce;90;;Feuer;;1;ASR;12;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_012_R_DE_LG.png
Folipurba;Leafeon;Phase 1 - Entwickelt sich aus Evoli;Pflanze;110;;;;C;Energiegarten;Energy Garden;;Durchsuche dein Deck nach bis zu 3 Basis-Energiekarten verschiedenen Typs und lege sie beliebig an deine Pokemon an. Mische anschließend dein Deck.;GCC;Blättergewirbel ;Leafy Cyclone;120;Während deines nächsten Zuges kann dieses Pokemon nicht angreifen.;Feuer;;2;ASR;13;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_013_R_DE_LG.png
Shaymin;Shaymin;Basis;Pflanze;70;;;;C;Aufheiterndes Geschenk;Encouraging Gift;;Du kannst diese Attacke nur einsetzen, wenn du als Zweiter am Zug bist, und nur während deines ersten Zuges. Durchsuche dein Deck nach bis zu 3 Karten und nimm sie auf deine Hand. Mische anschließend dein Deck.;G;Plumps ;Flop;30;;Feuer;;1;ASR;14;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_014_R_DE_LG.png
Lilminip;Petilil;Basis;Pflanze;50;;;;G;Absatzdreher ;Spin Turn;10;Tausche dieses Pokemon gegen 1 Pokemon auf deiner Bank aus.;;;;;;Feuer;;1;ASR;15;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_015_R_DE_LG.png
Hisui-Dressella;Hisuian Lilligant;Phase 1 - Entwickelt sich aus Lilminip;Pflanze;110;;;;CC;Lutzwirbel;Twister Lutz;;Diese Attacke fügt jedem Pokemon deines Gegners 20 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.) Tausche dieses Pokemon gegen 1 Pokemon auf deiner Bank aus.;GCC;Blattschritt ;Leaf Step;100;;Feuer;;1;ASR;16;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_016_R_DE_LG.png
Hisui-Dressella V;Hisuian Lilligant V;Basis;Pflanze;200;;;;0;Graziöser Tanz;Dance Gracefully;;Ziehe so lange Karten, bis du 6 Karten auf deiner Hand hast.;GGC;Blattschritt ;Leaf Step;130;;Feuer;;2;ASR;17;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_017_R_DE_LG.png
Hisui-Dressella VSTAR;Hisuian Lilligant VSTAR;VSTAR - Entwickelt sich aus Hisui-Dressella V;Pflanze;260;;Sternenparfüm;Während deines Zuges kannst du dein Deck nach einer beliebigen Kombination aus bis zu 5 [G]-Pokemon und [G]-Energiekarten durchsuchen, sie deinem Gegner zeigen und sie auf deine Hand nehmen. Mische anschließend dein Deck. (Du kannst pro Spiel nur 1 VSTAR-Power einsetzen.);GGC;Parallelpirouette ;Parallel Spin;130+;Du kannst 1 an dieses Pokemon angelegte Energie auf deine Hand nehmen. Wenn du das machst, fügt diese Attacke 100 Schadenspunkte mehr zu.;;;;;;Feuer;;1;ASR;18;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_018_R_DE_LG.png
Bauz;Rowlet;Basis;Pflanze;60;;;;C;Draufspringen ;Jump On;10+;Wirf 1 Münze. Bei Kopf fügt diese Attacke 10 Schadenspunkte mehr zu.;;;;;;Feuer;;1;ASR;19;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_019_R_DE_LG.png
Arboretoss;Dartrix;Phase 1 - Entwickelt sich aus Bauz;Pflanze;90;;;;C;Flattern ;Flap;30;;CCC;Rasierflügel ;Razor Wing;60;;Feuer;;1;ASR;20;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_020_R_DE_LG.png
Ponita;Ponyta;Basis;Feuer;60;;;;R;Flammenschweif ;Flame Tail;20;;;;;;;Wasser;;1;ASR;21;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_021_R_DE_LG.png
Gallopa;Rapidash;Phase 1 - Entwickelt sich aus Ponita;Feuer;100;;;;R;Glühen ;Combustion;30;;RC;Feuerring ;Ring of Fire;50;Das Aktive Pokemon deines Gegners ist jetzt verbrannt. Während des nächsten Zuges deines Gegners kann sich jenes Pokemon nicht zurückziehen.;Wasser;;1;ASR;22;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_022_R_DE_LG.png
Feurigel;Cyndaquil;Basis;Feuer;60;;;;C;Energielader;Charge Energy;;Durchsuche dein Deck nach bis zu 2 Basis-Energiekarten, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck.;C;Glühende Kohlen ;Live Coal;10;;Wasser;;1;ASR;23;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_023_R_DE_LG.png
Igelavar;Quilava;Phase 1 - Entwickelt sich aus Feurigel;Feuer;90;;;;C;Tackle ;Tackle;20;;CC;Flackern ;Flare;40;;Wasser;;1;ASR;24;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_024_R_DE_LG.png
Heatran V;Heatran V;Basis;Feuer;220;;;;RC;Brandwunde ;Heat Burn;30;Das Aktive Pokemon deines Gegners ist jetzt verbrannt.;RRC;Magmafall ;Magma Fall;90+;Wenn du eine Stadionkarte im Spiel hast, fügt diese Attacke 90 Schadenspunkte mehr zu.;Wasser;;3;ASR;25;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_025_R_DE_LG.png
Heatran VMAX;Heatran VMAX;VMAX - Entwickelt sich aus Heatran V;Feuer;330;;Magmagewinn;Einmal während deines Zuges, wenn du eine Stadionkarte im Spiel hast, kannst du 50 Schadenspunkte bei diesem Pokemon heilen.;RRC;Dyna-Hitze-Detonation ;Max Heat Burst;180;Das Aktive Pokemon deines Gegners ist jetzt verbrannt.;;;;;;Wasser;;4;ASR;26;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_026_R_DE_LG.png
Strahlendes Heatran;Radiant Heatran;Basis;Feuer;160;;;;RCC;Wutexplosion ;Raging Blast;70*;Diese Attacke fügt für jede Schadensmarke auf diesem Pokemon 70 Schadenspunkte zu.;;;;;;Wasser;;3;ASR;27;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_027_R_DE_LG.png
Enton;Psyduck;Basis;Wasser;60;;;;C;Dahindöser;Spacing Out;;Wirf 1 Münze. Heile bei Kopf 10 Schadenspunkte bei diesem Pokemon.;WC;Ramme ;Ram;20;;Elektro;;1;ASR;28;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_028_R_DE_LG.png
Entoron;Golduck;Phase 1 - Entwickelt sich aus Enton;Wasser;100;;;;WC;Aquaschneide ;Aqua Edge;50;;WWC;Mitreißender Tauchgang;Entangled Dive;;Lege das Aktive Pokemon jedes Spielers und alle angelegten Karten auf den Ablagestapel. (Du wählst als Erster ein neues Aktives Pokemon.);Elektro;;1;ASR;29;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_029_R_DE_LG.png
Starmie V;Starmie V;Basis;Wasser;190;;;;CC;Sternschauer ;Swift;50;Der Schaden dieser Attacke wird durch Schwäche, Resistenz oder Effekte auf dem Aktiven Pokemon deines Gegners nicht verändert.;WW;Energiespirale ;Energy Spiral;50*;Diese Attacke fügt für jede an alle Pokemon deines Gegners angelegte Energie 50 Schadenspunkte zu.;Elektro;;0;ASR;30;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_030_R_DE_LG.png
Quiekel;Swinub;Basis;Wasser;60;;;;CC;Zertrampeln ;Stampede;20;;WCC;Eissturm ;Icy Wind;40;Das Aktive Pokemon deines Gegners schläft jetzt.;Metall;;2;ASR;31;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_031_R_DE_LG.png
Keifel;Piloswine;Phase 1 - Entwickelt sich aus Quiekel;Wasser;90;;;;CC;Zertrampeln ;Stampede;30;;WCC;Blizzard ;Blizzard;50;Diese Attacke fügt auch jedem Pokemon auf der Bank deines Gegners 10 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);Metall;;3;ASR;32;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_032_R_DE_LG.png
Mamutel;Mamoswine;Phase 2 - Entwickelt sich aus Keifel;Wasser;180;;;;WCC;Blizzard ;Blizzard;80;Diese Attacke fügt auch jedem Pokemon auf der Bank deines Gegners 10 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);WWCC;Eisbergdruck ;Iceberg Press;170;Lege 1 Energie von diesem Pokemon auf deinen Ablagestapel. Während des nächsten Zuges deines Gegners kann das Verteidigende Pokemon nicht angreifen.;Metall;;4;ASR;33;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_033_R_DE_LG.png
Mantax;Mantine;Basis;Wasser;110;;;;C;An Land gespült;Borne Ashore;;Lege 1 Basis-Pokemon aus dem Ablagestapel eines der beiden Spieler auf die Bank jenes Spielers.;WWC;Aquaschneide ;Aqua Edge;100;;Elektro;;1;ASR;34;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_034_R_DE_LG.png
Schmerbe;Barboach;Basis;Wasser;60;;;;WCC;Regenplatscher ;Rain Splash;40;;;;;;;Elektro;;1;ASR;35;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_035_R_DE_LG.png
Welsar;Whiscash;Phase 1 - Entwickelt sich aus Schmerbe;Wasser;120;;;;WCC;Lehmschuss ;Mud Shot;80;;WCCC;Fuchtler ;Thrash;120+;Wirf 1 Münze. Bei Zahl fügt dieses Pokemon auch sich selbst 60 Schadenspunkte zu. Bei Kopf fügt diese Attacke 60 Schadenspunkte mehr zu.;Elektro;;3;ASR;36;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_036_R_DE_LG.png
Regice;Regice;Basis;Wasser;130;;;;C;Regi-Pforte;Regi Gate;;Durchsuche dein Deck nach 1 Basis-Pokemon und lege es auf deine Bank. Mische anschließend dein Deck.;WWC;Blizzardbindung ;Blizzard Bind;100;Wenn das Verteidigende Pokemon ein Pokemon-V ist, kann es während des nächsten Zuges deines Gegners nicht angreifen.;Metall;;3;ASR;37;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_037_R_DE_LG.png
Glaziola;Glaceon;Phase 1 - Entwickelt sich aus Evoli;Wasser;110;;;;W;Frostwand ;Frost Wall;30;Verhindere während des nächsten Zuges deines Gegners allen Schaden, der diesem Pokemon durch Attacken von Entwicklungs-Pokemon zugefügt wird.;WWC;Eis-Blaster ;Ice Blast;120;;Metall;;1;ASR;38;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_038_R_DE_LG.png
Ur-Palkia V;Origin Forme Palkia V;Basis;Wasser;220;;;;W;Herrscher der Region;Rule the Region;;Durchsuche dein Deck nach 1 Stadionkarte, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck.;WWC;Hydrobrecher ;Hydro Break;200;Während deines nächsten Zuges kann dieses Pokemon nicht angreifen.;Elektro;;2;ASR;39;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_039_R_DE_LG.png
Ur-Palkia VSTAR;Origin Forme Palkia VSTAR;VSTAR - Entwickelt sich aus Ur-Palkia V;Wasser;280;;Sternenportal;Du kannst während deines Zuges bis zu 3 [W]-Energiekarten aus deinem Ablagestapel beliebig an deine [W]-Pokemon anlegen. (Du kannst pro Spiel nur 1 VSTAR-Power einsetzen.);WW;Subraumschwall ;Subspace Swell;60+;Diese Attacke fügt für jedes Pokemon auf der Bank (deiner und der deines Gegners) 20 Schadenspunkte mehr zu.;;;;;;Elektro;;2;ASR;40;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_040_R_DE_LG.png
Ottaro;Oshawott;Basis;Wasser;70;;;;C;Verprügler ;Beat;10;;;;;;;Elektro;;1;ASR;41;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_041_R_DE_LG.png
Zwottronin;Dewott;Phase 1 - Entwickelt sich aus Ottaro;Wasser;90;;;;C;Kalkklinge ;Razor Shell;20+;Wirf 1 Münze. Bei Kopf fügt diese Attacke 20 Schadenspunkte mehr zu.;;;;;;Elektro;;1;ASR;42;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_042_R_DE_LG.png
Hisui-Barschuft;Hisuian Basculin;Basis;Wasser;50;;;;0;Alle an Bord;Gather the Crew;;Durchsuche dein Deck nach bis zu 2 Basis-Pokemon und lege sie auf deine Bank. Mische anschließend dein Deck.;W;Tackle ;Tackle;10;;Elektro;;1;ASR;43;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_043_R_DE_LG.png
Hisui-Salmagnis;Hisuian Basculegion;Phase 1 - Entwickelt sich aus Hisui-Barschuft;Wasser;120;;;;W;Grolltaucher ;Grudge Dive;30+;Wenn mindestens 1 deiner Pokemon während des letzten Zuges deines Gegners durch Schaden einer Attacke der Pokemon deines Gegners kampfunfähig wurde, fügt diese Attacke 90 Schadenspunkte mehr zu und das Aktive Pokemon deines Gegners ist jetzt verwirrt.;WCC;Flinke Kopfnuss ;Jet Headbutt;80;;Elektro;;2;ASR;44;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_044_R_DE_LG.png
Keldeo;Keldeo;Basis;Wasser;110;;;;C;Schmetterkick ;Smash Kick;20;;WC;Gebündelte Kraft ;Line Force;10+;Diese Attacke fügt für jedes Pokemon auf deiner Bank 20 Schadenspunkte mehr zu.;Elektro;;1;ASR;45;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_045_R_DE_LG.png
Strahlendes Quajutsu;Radiant Greninja;Basis;Wasser;130;;Verborgene Karten;Du musst 1 Energiekarte aus deiner Hand auf deinen Ablagestapel legen, um diese Fähigkeit einzusetzen. Einmal während deines Zuges kannst du 2 Karten ziehen.;WWC;Mondschein-Shuriken;Moonlight Shuriken;;Lege 2 Energien von diesem Pokemon auf deinen Ablagestapel. Diese Attacke fügt 2 Pokemon deines Gegners 90 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);;;;;;Elektro;;1;ASR;46;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_046_R_DE_LG.png
Arktip;Bergmite;Basis;Wasser;70;;;;WCC;Eiszapfen ;Icicle;40;;;;;;;Metall;;2;ASR;47;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_047_R_DE_LG.png
Hisui-Arktilas;Hisuian Avalugg;Phase 1 - Entwickelt sich aus Arktip;Wasser;140;;Massives Eis;Diesem Pokemon werden durch Attacken 30 Schadenspunkte weniger zugefügt (nachdem Schwäche und Resistenz verrechnet wurden).;WWCC;Frostfallwind ;Mountain Gale;100+;Wenn eine Stadionkarte im Spiel ist, fügt diese Attacke 120 Schadenspunkte mehr zu. Lege anschließend jene Stadionkarte auf den Ablagestapel.;;;;;;Metall;;3;ASR;48;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_048_R_DE_LG.png
Galar-Pantifrost V;Galarian Mr. Rime V;Basis;Wasser;210;;;;W;Überraschungshand;Surprising Hand;;Durchsuche dein Deck nach bis zu 3 Itemkarten, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck.;WWC;Maßgeschneiderter Stock ;Customized Cane;90+;Wenn an dieses Pokemon eine Pokemon-Ausrüstung angelegt ist, fügt diese Attacke 90 Schadenspunkte mehr zu.;Metall;;2;ASR;49;E;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_049_R_DE_LG.png
Luxtra V;Luxray V;Basis;Elektro;210;;;;CC;Rasanter Reißzahn ;Fang Snipe;30;Dein Gegner zeigt dir seine Handkarten. Lege 1 Trainerkarte, die du dort findest, auf seinen Ablagestapel.;LLC;Pulsstrahl ;Radiating Pulse;120;Lege 2 Energien von diesem Pokemon auf deinen Ablagestapel. Das Aktive Pokemon deines Gegners ist jetzt paralysiert.;Kampf;;1;ASR;50;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_050_R_DE_LG.png
Regieleki;Regieleki;Basis;Elektro;130;;;;C;Elektromagnetisches Sonar;Electromagnetic Sonar;;Nimm 1 Trainerkarte aus deinem Ablagestapel auf deine Hand.;LLC;Gezielter Blitz;Targeted Bolt;;Lege 2 [L]-Energien von diesem Pokemon auf deinen Ablagestapel. Diese Attacke fügt 1 Pokemon auf der Bank deines Gegners 120 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);Kampf;;3;ASR;51;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_051_R_DE_LG.png
Hisui-Tornupto;Hisuian Typhlosion;Phase 2 - Entwickelt sich aus Igelavar;Psycho;150;;Übernatürlicher Orb;Du musst 1 [P]-Energiekarte aus deiner Hand auf deinen Ablagestapel legen, um diese Fähigkeit einzusetzen. Einmal während deines Zuges kannst du das Aktive Pokemon deines Gegners verbrennen und verwirren.;PC;Schattenbindung ;Shadow Bind;90;Während des nächsten Zuges deines Gegners kann sich das Verteidigende Pokemon nicht zurückziehen.;;;;;;Finsternis;Kampf;1;ASR;52;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_052_R_DE_LG.png
Hisui-Tornupto V;Hisuian Typhlosion V;Basis;Psycho;210;;;;0;Versengung;Singe;;Das Aktive Pokemon deines Gegners ist jetzt verbrannt.;PPC;Angsteinflößende Flamme ;Petrifying Flame;120;Wähle 1 zufällige Karte aus der Hand deines Gegners. Dein Gegner zeigt dir jene Karte und mischt sie in sein Deck.;Finsternis;Kampf;2;ASR;53;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_053_R_DE_LG.png
Hisui-Tornupto VSTAR;Hisuian Typhlosion VSTAR;VSTAR - Entwickelt sich aus Hisui-Tornupto V;Psycho;260;;;;PPC;Heimsuchende Flamme ;Hollow Flame;180;Lege 3 Schadensmarken beliebig auf die Pokemon auf der Bank deines Gegners.;P;Flimmernder Stern;Shimmering Star;;Wenn auf dem Aktiven Pokemon deines Gegners genau 4 Schadensmarken liegen, ist jenes Pokemon kampfunfähig. (Du kannst pro Spiel nur 1 VSTAR-Power einsetzen.);Finsternis;Kampf;2;ASR;54;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_054_R_DE_LG.png
Togepi;Togepi;Basis;Psycho;50;;Hauch der Freude;Wenn du dieses Pokemon während deines Zuges aus deiner Hand auf deine Bank spielst, kannst du 10 Schadenspunkte bei deinem Aktiven Pokemon heilen.;P;Walzer ;Rollout;10;;;;;;;Metall;;1;ASR;55;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_055_R_DE_LG.png
Togetic;Togetic;Phase 1 - Entwickelt sich aus Togepi;Psycho;80;;Stimme der Freude;Wenn du dieses Pokemon aus deiner Hand spielst, um 1 deiner Pokemon während deines Zuges zu entwickeln, kannst du 30 Schadenspunkte bei deinem Aktiven Pokemon heilen.;PC;Feenbrise ;Fairy Wind;30;;;;;;;Metall;;1;ASR;56;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_056_R_DE_LG.png
Togekiss;Togekiss;Phase 2 - Entwickelt sich aus Togetic;Psycho;130;;Glanz der Freude;Wenn du dieses Pokemon aus deiner Hand spielst, um 1 deiner Pokemon während deines Zuges zu entwickeln, kannst du 90 Schadenspunkte bei deinem Aktiven Pokemon heilen.;PCC;Magischer Schuss ;Magical Shot;120;;;;;;;Metall;;1;ASR;57;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_057_R_DE_LG.png
Traunfugil;Misdreavus;Basis;Psycho;60;;;;C;Grummeln ;Mumble;10;;;;;;;Finsternis;Kampf;1;ASR;58;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_058_R_DE_LG.png
Traunmagil;Mismagius;Phase 1 - Entwickelt sich aus Traunfugil;Psycho;90;;;;P;Ominöse Worte;Ominous Prose;;Dein Gegner zeigt dir seine Handkarten. Wenn er 4 oder mehr Karten auf seiner Hand hat, wähle alle bis auf 3, und dein Gegner mischt die gewählten Karten in sein Deck.;PC;Psystrahl ;Psybeam;50;Das Aktive Pokemon deines Gegners ist jetzt verwirrt.;Finsternis;Kampf;1;ASR;59;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_059_R_DE_LG.png
Trasla;Ralts;Basis;Psycho;70;;;;P;Blitz-Teleportation ;Teleportation Burst;10;Tausche dieses Pokemon gegen 1 Pokemon auf deiner Bank aus.;;;;;;Finsternis;Kampf;1;ASR;60;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_060_R_DE_LG.png
