Name;Name EN;Kartentyp;Typ;KP;Entwickelt sich aus;Fähigkeit;Fähigkeit Text;Angriff 1 Kosten;Angriff 1 Name;Angriff 1 Name EN;Angriff 1 Schaden;Effekt 1;Angriff 2 Kosten;Angriff 2 Name;Angriff 2 Name EN;Angriff 2 Schaden;Effekt 2;Schwäche;Resistenz;Rückzug;Set;#;Regulation;Set Name;URL
Absol-ex;Absol ex;Pokemon Basis;Finsternis;210;;;;D;Seher;Future Sight;;Schau dir die obersten 3 Karten des Decks eines der beiden Spieler an und lege sie in beliebiger Reihenfolge zurück auf sein Deck.;DDC;Verfluchter Schlag ;Cursed Slug;100+;Wenn dein Gegner 3 oder weniger Karten auf seiner Hand hat, fügt diese Attacke 120 Schadenspunkte mehr zu.;Pflanze;keine;1;OBF;135;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_135_R_DE_LG.png
Absol-ex;Absol ex;Pokemon Basis;Finsternis;210;;;;D;Seher;Future Sight;;Schau dir die obersten 3 Karten des Decks eines der beiden Spieler an und lege sie in beliebiger Reihenfolge zurück auf sein Deck.;DDC;Verfluchter Schlag ;Cursed Slug;100+;Wenn dein Gegner 3 oder weniger Karten auf seiner Hand hat, fügt diese Attacke 120 Schadenspunkte mehr zu.;Pflanze;keine;1;OBF;214;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_214_R_DE_LG.png
Achromas' Beharrlichkeit;Colress's Tenacity;Trainer - Unterstützer;;;;;Durchsuche dein Deck nach 1 Stadionkarte und 1 Energiekarte, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck.;;;;;;;;;;;Kampf;keine;3;SFA;57;H;Nebel der Sagen (SFA);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SFA/SFA_057_R_DE_LG.png
Achromas' Beharrlichkeit;Colress's Tenacity;Trainer - Unterstützer;;;;;Durchsuche dein Deck nach 1 Stadionkarte und 1 Energiekarte, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck.;;;;;;;;;;;Kampf;keine;1;SFA;87;H;Nebel der Sagen (SFA);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SFA/SFA_087_R_DE_LG.png
Achromas' Experiment;Colress's Experiment;Trainer - Unterstützer;;;;;Schau dir die obersten 5 Karten deines Decks an und nimm 3 von ihnen auf deine Hand. Lege die anderen Karten ins Nirgendwo.;;;;;;;;;;;Kampf;keine;2;CRZ;GG59;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_GG59_R_DE_LG.png
Achromas' Experiment;Colress's Experiment;Trainer - Unterstützer;;;;;Schau dir die obersten 5 Karten deines Decks an und nimm 3 von ihnen auf deine Hand. Lege die anderen Karten ins Nirgendwo.;;;;;;;;;;;Kampf;keine;3;LOR;155;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_155_R_DE_LG.png
Achromas' Experiment;Colress's Experiment;Trainer - Unterstützer;;;;;Schau dir die obersten 5 Karten deines Decks an und nimm 3 von ihnen auf deine Hand. Lege die anderen Karten ins Nirgendwo.;;;;;;;;;;;Elektro;Kampf;1;LOR;190;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_190_R_DE_LG.png
Achromas' Experiment;Colress's Experiment;Trainer - Unterstützer;;;;;Schau dir die obersten 5 Karten deines Decks an und nimm 3 von ihnen auf deine Hand. Lege die anderen Karten ins Nirgendwo.;;;;;;;;;;;Kampf;keine;2;LOR;205;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_205_R_DE_LG.png
Adebom;Bombirdier;Pokemon Basis;Finsternis;120;;;;C;Liefertasche;Delivery Pocket;;Durchsuche dein Deck nach 1 Basis-Pokemon und lege es auf deine Bank. Mische anschließend dein Deck.;DDC;Dunkelklinge ;Dark Edge;120;Lege 1 Energie von diesem Pokemon auf deinen Ablagestapel.;Elektro;Kampf;1;PAL;147;G;Entwicklungen in Paldea (PAL);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAL/PAL_147_R_DE_LG.png
Adebom;Bombirdier;Pokemon Basis;Finsternis;100;;;;DC;Waghalsiger Sturmangriff ;Reckless Charge;70;Dieses Pokemon fügt auch sich selbst 20 Schadenspunkte zu.;;;;;;Pflanze;keine;1;SCR;97;H;Stellarkrone (SCR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SCR/SCR_097_R_DE_LG.png
Adebom;Bombirdier;Pokemon Basis;Finsternis;110;;;;C;Klimbimtransport;Knickknack Carrying;;Durchsuche dein Deck nach bis zu 3 Pokemon-Ausrüstungen, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck.;DC;Greifer ;Clutch;60;Während des nächsten Zuges deines Gegners kann sich das Verteidigende Pokemon nicht zurückziehen.;Elektro;Kampf;1;SVI;138;G;Karmesin & Purpur (SVI);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SVI/SVI_138_R_DE_LG.png
Adebom;Bombirdier;Pokemon Basis;Finsternis;110;;;;C;Klimbimtransport;Knickknack Carrying;;Durchsuche dein Deck nach bis zu 3 Pokemon-Ausrüstungen, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck.;DC;Greifer ;Clutch;60;Während des nächsten Zuges deines Gegners kann sich das Verteidigende Pokemon nicht zurückziehen.;Elektro;Kampf;1;SVI;219;G;Karmesin & Purpur (SVI);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SVI/SVI_219_R_DE_LG.png
Adebom-ex;Bombirdier ex;Pokemon Basis;Farblos;200;;;;C;Schneller Lieferant;Fast Carrier;;Wenn du als Erster am Zug bist, kannst du diese Attacke während deines ersten Zuges einsetzen. Durchsuche dein Deck nach bis zu 3 Basis-Pokemon und lege sie auf deine Bank. Mische anschließend dein Deck.;CCC;Schattenwind ;Shadowy Wind;130;Du kannst dieses Pokemon und alle angelegten Karten auf deine Hand nehmen.;Elektro;Kampf;1;PAR;156;G;Paradoxrift (PAR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAR/PAR_156_R_DE_LG.png
Adebom-ex;Bombirdier ex;Pokemon Basis;Farblos;200;;;;C;Schneller Lieferant;Fast Carrier;;Wenn du als Erster am Zug bist, kannst du diese Attacke während deines ersten Zuges einsetzen. Durchsuche dein Deck nach bis zu 3 Basis-Pokemon und lege sie auf deine Bank. Mische anschließend dein Deck.;CCC;Schattenwind ;Shadowy Wind;130;Du kannst dieses Pokemon und alle angelegten Karten auf deine Hand nehmen.;Elektro;Kampf;1;PAR;234;G;Paradoxrift (PAR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAR/PAR_234_R_DE_LG.png
Admurai;Samurott;Pokemon Phase 2;Wasser;160; Zwottronin;Panzerhaut;Diesem Pokemon werden durch Attacken 30 Schadenspunkte weniger zugefügt (nachdem Schwäche und Resistenz verrechnet wurden).;WCC;Aquawäsche ;Aqua Wash;120;Du kannst deinem Gegner 2 an sein Aktives Pokemon angelegte Energien auf seine Hand geben.;;;;;;Elektro;keine;2;VIV;35;D;Farbenschock (VIV);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/VIV/VIV_035_R_DE_LG.png
Adressbuch;Pal Pad;Trainer - Item;;;;;Mische bis zu 2 Unterstützerkarten aus deinem Ablagestapel in dein Deck.;;;;;;;;;;;Elektro;Kampf;1;SVI;182;G;Karmesin & Purpur (SVI);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SVI/SVI_182_R_DE_LG.png
Aerodactyl;Aerodactyl;Pokemon Phase 1;Farblos;130;;;;C;Gleiten ;Glide;30;;CC;Rückentwicklungsstrahl ;Devolution Ray;100;Wenn das Aktive Pokemon deines Gegners ein entwickeltes Pokemon ist, rückentwickle es, indem du deinem Gegner die daraufliegende Karte mit der höchsten Entwicklungsstufe auf die Hand gibst.;Elektro;Kampf;0;MEW;142;G;Pokemon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_142_R_DE_LG.png
Aerodactyl V;Aerodactyl V;Pokemon Basis;Kampf;210;;;;FC;Biss ;Bite;40;;FCC;Felsenmalmer ;Rock Crush;120;Lege 1 Energie vom Aktiven Pokemon deines Gegners auf seinen Ablagestapel.;Pflanze;keine;1;LOR;92;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_092_R_DE_LG.png
Aerodactyl V;Aerodactyl V;Pokemon Basis;Kampf;210;;;;FC;Biss ;Bite;40;;FCC;Felsenmalmer ;Rock Crush;120;Lege 1 Energie vom Aktiven Pokemon deines Gegners auf seinen Ablagestapel.;Pflanze;keine;1;LOR;179;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_179_R_DE_LG.png
Aerodactyl V;Aerodactyl V;Pokemon Basis;Kampf;210;;;;FC;Biss ;Bite;40;;FCC;Felsenmalmer ;Rock Crush;120;Lege 1 Energie vom Aktiven Pokemon deines Gegners auf seinen Ablagestapel.;Pflanze;keine;1;LOR;180;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_180_R_DE_LG.png
Aerodactyl VSTAR;Aerodactyl VSTAR;VSTAR;Kampf;260; Aerodactyl V;;;FCC;Sturzflug ins Nirgendwo ;Lost Dive;240;Lege die obersten 3 Karten deines Decks ins Nirgendwo.;C;Urzeitstern;Ancient Star;;Bis dieses Pokemon das Spiel verlässt, erhält es eine Fähigkeit mit dem Effekt â€žDie Pokemon-V deines Gegners im Spiel, außer Aerodactyl-VSTAR, haben keine Fähigkeiten.â€œ (Du kannst pro Spiel nur 1 VSTAR-Power einsetzen.);Pflanze;keine;2;LOR;93;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_093_R_DE_LG.png
Aerodactyl VSTAR;Aerodactyl VSTAR;VSTAR;Kampf;260; Aerodactyl V;;;FCC;Sturzflug ins Nirgendwo ;Lost Dive;240;Lege die obersten 3 Karten deines Decks ins Nirgendwo.;C;Urzeitstern;Ancient Star;;Bis dieses Pokemon das Spiel verlässt, erhält es eine Fähigkeit mit dem Effekt â€žDie Pokemon-V deines Gegners im Spiel, außer Aerodactyl-VSTAR, haben keine Fähigkeiten.â€œ (Du kannst pro Spiel nur 1 VSTAR-Power einsetzen.);Pflanze;keine;2;LOR;199;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_199_R_DE_LG.png
Aeropteryx;Archeops;Pokemon Phase 2;Farblos;150; Flapteryx;Urzeit-Turbo;Einmal während deines Zuges kannst du dein Deck nach bis zu 2 Spezial-Energiekarten durchsuchen und sie an 1 deiner Pokemon anlegen. Mische anschließend dein Deck.;CCC;Turboschwinge ;Speed Wing;120;;;;;;;Elektro;Kampf;1;SIT;147;F;Silberne Sturmwinde (SIT);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SIT/SIT_147_R_DE_LG.png
Affiti;Grafaiai;Pokemon Phase 1;Finsternis;90; Sproxi;;;D;Giftspucke;Spit Poison;;Das Aktive Pokemon deines Gegners ist jetzt vergiftet.;D;Buntes Graffiti ;Colorful Graffiti;40*;Du kannst beliebig viele Basis-Energiekarten aus deiner Hand auf deinen Ablagestapel legen. Diese Attacke fügt für jeden auf diese Weise auf den Ablagestapel gelegten Basis-Energietyp 40 Schadenspunkte zu.;Kampf;keine;1;PAF;190;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_190_R_DE_LG.png
Affiti;Grafaiai;Pokemon Phase 1;Finsternis;90; Sproxi;;;D;Giftspucke;Spit Poison;;Das Aktive Pokemon deines Gegners ist jetzt vergiftet.;D;Buntes Graffiti ;Colorful Graffiti;40*;Du kannst beliebig viele Basis-Energiekarten aus deiner Hand auf deinen Ablagestapel legen. Diese Attacke fügt für jeden auf diese Weise auf den Ablagestapel gelegten Basis-Energietyp 40 Schadenspunkte zu.;Kampf;keine;1;PAL;146;G;Entwicklungen in Paldea (PAL);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAL/PAL_146_R_DE_LG.png
Affiti;Grafaiai;Pokemon Phase 1;Finsternis;90; Sproxi;;;D;Giftspucke;Spit Poison;;Das Aktive Pokemon deines Gegners ist jetzt vergiftet.;D;Buntes Graffiti ;Colorful Graffiti;40*;Du kannst beliebig viele Basis-Energiekarten aus deiner Hand auf deinen Ablagestapel legen. Diese Attacke fügt für jeden auf diese Weise auf den Ablagestapel gelegten Basis-Energietyp 40 Schadenspunkte zu.;Kampf;keine;1;PAL;223;G;Entwicklungen in Paldea (PAL);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAL/PAL_223_R_DE_LG.png
Agathe;Agatha;Trainer - Unterstützer;;;;;Verschiebe bis zu 3 Schadensmarken von deinem Aktiven Pokemon auf das Aktive Pokemon deines Gegners.;;;;;;;;;;;Kampf;keine;1;CRE;129;E;Schaurige Herrschaft (CRE);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRE/CRE_129_R_DE_LG.png
Agathe;Agatha;Trainer - Unterstützer;;;;;Verschiebe bis zu 3 Schadensmarken von deinem Aktiven Pokemon auf das Aktive Pokemon deines Gegners.;;;;;;;;;;;Elektro;Kampf;2;CRE;186;E;Schaurige Herrschaft (CRE);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRE/CRE_186_R_DE_LG.png
Agathe;Agatha;Trainer - Unterstützer;;;;;Verschiebe bis zu 3 Schadensmarken von deinem Aktiven Pokemon auf das Aktive Pokemon deines Gegners.;;;;;;;;;;;Elektro;Kampf;2;CRE;210;E;Schaurige Herrschaft (CRE);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRE/CRE_210_R_DE_LG.png
Aggrostella;Toxapex;Pokemon Phase 1;Finsternis;120; Garstella;;;D;Giftschock ;Venoshock;10+;Wenn das Aktive Pokemon deines Gegners vergiftet ist, fügt diese Attacke 120 Schadenspunkte mehr zu.;DCC;Dornensalve ;Spike Shot;90;;Kampf;keine;2;SIT;115;F;Silberne Sturmwinde (SIT);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SIT/SIT_115_R_DE_LG.png
Agiluza;Veluza;Pokemon Basis;Wasser;120;;Filet-Memento;Wenn dieses Pokemon in der Aktiven Position ist und durch Schaden einer Attacke von Pokemon deines Gegners kampfunfähig wird, verschiebe bis zu 2 [W]-Energiekarten von diesem Pokemon auf 1 Pokemon auf deiner Bank.;CCC;Hydropumpe ;Hydro Pump;60+;Diese Attacke fügt für jede an dieses Pokemon angelegte [W]-Energie 20 Schadenspunkte mehr zu.;;;;;;Elektro;keine;2;PAR;54;G;Paradoxrift (PAR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAR/PAR_054_R_DE_LG.png
Agiluza;Veluza;Pokemon Basis;Wasser;120;;Filet-Memento;Wenn dieses Pokemon in der Aktiven Position ist und durch Schaden einer Attacke von Pokemon deines Gegners kampfunfähig wird, verschiebe bis zu 2 [W]-Energiekarten von diesem Pokemon auf 1 Pokemon auf deiner Bank.;CCC;Hydropumpe ;Hydro Pump;60+;Diese Attacke fügt für jede an dieses Pokemon angelegte [W]-Energie 20 Schadenspunkte mehr zu.;;;;;;Elektro;keine;2;PAR;192;G;Paradoxrift (PAR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAR/PAR_192_R_DE_LG.png
Agiluza;Veluza;Pokemon Basis;Wasser;130;;Zubereitung;Die Kosten der von diesem Pokemon eingesetzten Attacken verringern sich für jede Kombu-Karte in deinem Ablagestapel um [C].;CCCC;Schallkante ;Sonic Edge;110;Der Schaden dieser Attacke wird durch Effekte auf dem Aktiven Pokemon deines Gegners nicht verändert.;;;;;;Elektro;keine;2;SCR;45;H;Stellarkrone (SCR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SCR/SCR_045_R_DE_LG.png
Agiluza;Veluza;Pokemon Basis;Wasser;130;;;;W;Ramme ;Ram;20;;WCCC;Schmale Schraube ;Slim Screw;120;Wenn du keine Karten auf deiner Hand hast, kann diese Attacke für [W] eingesetzt werden.;Elektro;keine;2;PAF;125;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_125_R_DE_LG.png
Agiluza;Veluza;Pokemon Basis;Wasser;130;;;;W;Ramme ;Ram;20;;WCCC;Schmale Schraube ;Slim Screw;120;Wenn du keine Karten auf deiner Hand hast, kann diese Attacke für [W] eingesetzt werden.;Elektro;keine;2;PAL;56;G;Entwicklungen in Paldea (PAL);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAL/PAL_056_R_DE_LG.png
Akademie bei Nacht;Academy at Night;Trainer - Stadion;;;;;Einmal während des Zuges jedes Spielers kann jener Spieler 1 Karte aus seiner Hand auf sein Deck legen.;;;;;;;;;;;Kampf;keine;3;SFA;54;H;Nebel der Sagen (SFA);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SFA/SFA_054_R_DE_LG.png
Akkup;Charjabug;Pokemon Phase 1;Elektro;100; Mabula;;;CC;Klammer ;Vise Grip;30;;LCC;Kopf-Blitz ;Head Bolt;60;;Kampf;keine;3;FST;100;E;Fusionsangriff (FST);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/FST/FST_100_R_DE_LG.png
Akkup;Charjabug;Pokemon Phase 1;Elektro;80; Mabula;;;L;Parallelschaltung;Parallel Placement;;Durchsuche dein Deck nach bis zu 3 Akkup und lege sie auf deine Bank. Mische anschließend dein Deck.;;;;;;Kampf;keine;2;SCR;52;H;Stellarkrone (SCR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SCR/SCR_052_R_DE_LG.png
Akkup;Charjabug;Pokemon Phase 1;Elektro;100; Mabula;;;LL;Statischer Schock ;Static Shock;60;;;;;;;Kampf;keine;2;TEF;55;H;Gewalten der Zeit (TEF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/TEF/TEF_055_R_DE_LG.png
Akkup;Charjabug;Pokemon Phase 1;Elektro;100; Mabula;;;LL;Statischer Schock ;Static Shock;60;;;;;;;Kampf;keine;2;TEF;169;H;Gewalten der Zeit (TEF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/TEF/TEF_169_R_DE_LG.png
Algitt;Skrelp;Pokemon Basis;Finsternis;60;;;;D;Tackle ;Tackle;10;;DC;Schmelzen ;Melt;20;;Kampf;keine;1;CRZ;81;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_081_R_DE_LG.png
Alola Vulpix V;Alolan Vulpix V;Pokemon Basis;Wasser;190;;;;0;Weißer Fall ;White Drop;10+;Wenn das Aktive Pokemon deines Gegners ein Pokemon-V ist, fügt diese Attacke 50 Schadenspunkte mehr zu.;WCC;Frostschlag ;Frost Smash;110;;Metall;keine;1;SIT;33;F;Silberne Sturmwinde (SIT);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SIT/SIT_033_R_DE_LG.png
Alola Vulpix V;Alolan Vulpix V;Pokemon Basis;Wasser;190;;;;0;Weißer Fall ;White Drop;10+;Wenn das Aktive Pokemon deines Gegners ein Pokemon-V ist, fügt diese Attacke 50 Schadenspunkte mehr zu.;WCC;Frostschlag ;Frost Smash;110;;Metall;keine;1;SIT;173;F;Silberne Sturmwinde (SIT);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SIT/SIT_173_R_DE_LG.png
Alola Vulpix VSTAR;Alolan Vulpix VSTAR;VSTAR;Wasser;240; Alola-Vulpix V;;;WCC;Schnee-Illusion ;Snow Mirage;160;Der Schaden dieser Attacke wird durch Effekte auf dem Aktiven Pokemon deines Gegners nicht verändert. Verhindere während des nächsten Zuges deines Gegners allen Schaden, der diesem Pokemon durch Attacken von Pokemon zugefügt wird, die eine Fähigkeit haben.;0;Silberner Schneestern ;Silvery Snow Star;70*;Diese Attacke fügt für jedes Pokemon-V deines Gegners im Spiel 70 Schadenspunkte zu. Dieser Schaden wird durch Schwäche und Resistenz nicht verändert. (Du kannst pro Spiel nur 1 VSTAR-Power einsetzen.);Metall;keine;1;SIT;34;F;Silberne Sturmwinde (SIT);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SIT/SIT_034_R_DE_LG.png
Alola Vulpix VSTAR;Alolan Vulpix VSTAR;VSTAR;Wasser;240; Alola-Vulpix V;;;WCC;Schnee-Illusion ;Snow Mirage;160;Der Schaden dieser Attacke wird durch Effekte auf dem Aktiven Pokemon deines Gegners nicht verändert. Verhindere während des nächsten Zuges deines Gegners allen Schaden, der diesem Pokemon durch Attacken von Pokemon zugefügt wird, die eine Fähigkeit haben.;0;Silberner Schneestern ;Silvery Snow Star;70*;Diese Attacke fügt für jedes Pokemon-V deines Gegners im Spiel 70 Schadenspunkte zu. Dieser Schaden wird durch Schwäche und Resistenz nicht verändert. (Du kannst pro Spiel nur 1 VSTAR-Power einsetzen.);Metall;keine;1;SIT;197;F;Silberne Sturmwinde (SIT);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SIT/SIT_197_R_DE_LG.png
